year,winner,jockey,trainer,owner,distance_mi,track_condition,time,wins,triple_crown,odds_high,odds_low,odds,bred_in,sex,starts,win,place,show,wps,wps_ratio,superfecta_payout
1974,Cannonade,Ángel Cordero Jr.,Woody Stephens,John M. Olin,1.25,Fast,2:04.0,3,F,3,2,3/2,Kentucky,M,25,7,3,6,16,0.640,
1973,Secretariat,Ron Turcotte,Lucien Laurin,Meadow Stable,1.25,Fast,1:59.4,2,T,3,2,3/2,Virginia,M,21,16,3,1,20,0.952,
1972,Riva Ridge,Ron Turcotte,Lucien Laurin,Meadow Stud,1.25,Fast,2:01.8,2,F,3,2,3/2,Kentucky,M,30,17,3,1,21,0.700,
1971,Canonero II,Gustavo Ávila,Juan Arias,Edgar Caibett,1.25,Fast,2:03.2,1,F,9,1,9/1,Kentucky,M,23,9,3,4,16,0.696,
1970,Dust Commander,Mike Manganello,Don Combs,Robert E. Lehmann,1.25,Good,2:03.4,1,F,15,1,15/1,Illinois,M,42,8,5,4,17,0.405,
1969,Majestic Prince,Bill Hartack,Johnny Longden,Frank M. McMahon,1.25,Fast,2:01.8,5,F,3,2,3/2,Kentucky,M,10,9,1,0,10,1.000,
1968,Forward Pass,Ismael Valenzuela,Henry Forrest,Calumet Farm,1.25,Fast,2:02.2,2,F,7,2,7/2,Kentucky,M,23,10,4,2,16,0.696,
1967,Proud Clarion,Bobby Ussery,Loyd Gentry Jr.,Darby Dan Farm,1.25,Fast,2:00.6,1,F,30,1,30/1,Kentucky,M,25,6,4,2,12,0.480,
1966,Kauai King,Don Brumfield,Henry Forrest,Ford Stable,1.25,Fast,2:02.0,1,F,5,2,5/2,Maryland,M,16,9,2,1,12,0.750,
1965,Lucky Debonair,Bill Shoemaker,Frank Catrone,Ada L. Rice,1.25,Fast,2:01.2,4,F,9,2,9/2,Kentucky,M,16,9,3,0,12,0.750,
1964,Northern Dancer,Bill Hartack,Horatio Luro,Windfields Farm,1.25,Fast,2:00.0,5,F,7,2,7/2,Canada,M,18,14,2,2,18,1.000,
1963,Chateaugay,Braulio Baeza,James P. Conway,Darby Dan Farm,1.25,Fast,2:01.8,1,F,9,1,9/1,Kentucky,M,24,11,4,2,17,0.708,
1962,Decidedly,Bill Hartack,Horatio Luro,El Peco Ranch,1.25,Fast,2:00.4,5,F,9,1,9/1,California,M,43,11,9,4,24,0.558,
1961,Carry Back,Johnny Sellers,Jack A. Price,Katherine Price,1.25,Good,2:04.0,1,F,5,2,5/2,Florida,M,61,21,11,11,43,0.705,
1960,Venetian Way,Bill Hartack,Victor J. Sovinski,Sunny Blue Farm,1.25,Good,2:02.4,5,F,6,1,6/1,Kentucky,M,20,7,4,3,14,0.700,
1959,Tomy Lee,Bill Shoemaker,Frank E. Childs,Fred & Juliette Turner,1.25,Fast,2:02.2,4,F,4,1,4/1,Great Britain,M,31,14,4,3,21,0.677,
1958,Tim Tam,Ismael Valenzuela,Jimmy Jones,Calumet Farm,1.25,Muddy,2:05.0,2,F,2,1,2/1,Kentucky,M,14,10,1,2,13,0.929,
